customer_id,customer_name,city,dob,effective_date,expiry_date,current_flag
c001,Customer_001,Bengaluru,2001-06-04,2025-01-01,,1
c002,Customer_002_Upd,Kochi,2003-09-28,2025-01-01,,1
c003,Customer_003,Chennai,1996-08-26,2025-01-01,,1
c004,Customer_004,Coimbatore,1990-05-29,2025-01-01,,1
c005,Customer_005,Bengaluru,1997-03-02,2025-01-01,,1
c006,Customer_006,Coimbatore,1984-05-19,2025-01-01,,1
c007,Customer_007_Upd,Bengaluru,1985-03-30,2025-01-01,,1
c008,Customer_008,Bengaluru,1996-11-14,2025-01-01,,1
c009,Customer_009,Hyderabad,1998-07-25,2025-01-01,,1
c010,Customer_010,Pune,1981-04-01,2025-01-01,,1
